,Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Market Category,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,sqrt_MSRP,log_MSRP,sin_MSRP,cos_MSRP,Market Category Luxury,Market Category High Performance,Market Category Performance
0,BMW,1 Series M,2011,premium unleaded (required),335.0,6.0,MANUAL,rear wheel drive,2.0,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26,19,3916,46135,214.7905956972977,10.739348835295248,-0.6532598785135824,-0.7571337603913986,True,True,False
1,BMW,1 Series,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,40650,201.61845153655952,10.612778714919378,-0.8032044830568652,-0.595703414794102,True,False,True
2,BMW,1 Series,2011,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,36350,190.6567596493762,10.500976992899632,0.9796268046927077,-0.20082660064731372,True,True,False
3,BMW,1 Series,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,29450,171.61002301730514,10.290483144360632,0.6521865277772594,0.7580585287336605,True,False,True
4,BMW,1 Series,2011,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,34500,185.7417562100671,10.448743588106625,-0.8251805308892964,0.564869092304809,True,False,False
5,BMW,1 Series,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,18,3916,31200,176.63521732655693,10.348205424565993,-0.7468797254482773,-0.6649591534179419,True,False,True
6,BMW,1 Series,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,26,17,3916,44100,210.0,10.694237736914808,-0.9942943261752034,-0.10667142511374914,True,False,True
7,BMW,1 Series,2012,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39300,198.2422760159901,10.579005242826247,-0.969723597478254,0.24420512790241164,True,True,False
8,BMW,1 Series,2012,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,18,3916,36900,192.09372712298546,10.515993929932415,-0.9116614240079945,0.41094214675026397,True,False,False
9,BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,27,18,3916,37200,192.8730152198591,10.524090921620362,-0.3906971756777241,-0.9205192648268963,True,False,False
10,BMW,1 Series,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,39600,198.997487421324,10.586609649448985,-0.22271788961521047,-0.974882937405998,True,True,False
11,BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500,177.48239349298848,10.357774570341576,0.6813003138655104,-0.7320040179717302,True,False,True
12,BMW,1 Series,2013,premium unleaded (required),300.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Convertible,28,19,3916,44400,210.71307505705477,10.70101727068921,0.1286159233844979,-0.9916944813055848,True,False,True
13,BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,Luxury,Compact,Convertible,28,19,3916,37200,192.8730152198591,10.524090921620362,-0.3906971756777241,-0.9205192648268963,True,False,False
14,BMW,1 Series,2013,premium unleaded (required),230.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,Performance",Compact,Coupe,28,19,3916,31500,177.48239349298848,10.357774570341576,0.6813003138655104,-0.7320040179717302,True,False,True
15,BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Convertible,25,18,3916,48250,219.65882636488797,10.784171831940965,0.988655693606627,0.15019959886497475,True,True,False
16,BMW,1 Series,2013,premium unleaded (required),320.0,6.0,MANUAL,rear wheel drive,2.0,"Luxury,High-Performance",Compact,Coupe,28,20,3916,43550,208.68636754709206,10.681687944129537,0.946636855687036,0.32230213070186436,True,True,False
17,Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,44.721359549995796,7.601402334583733,0.930039504416137,-0.36745954910083134,True,False,False
18,Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,44.721359549995796,7.601402334583733,0.930039504416137,-0.36745954910083134,True,False,False
19,Audi,100,1992,regular unleaded,172.0,6.0,AUTOMATIC,all wheel drive,4.0,Luxury,Midsize,Wagon,20,16,3105,2000,44.721359549995796,7.601402334583733,0.930039504416137,-0.36745954910083134,True,False,False
20,Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,front wheel drive,4.0,Luxury,Midsize,Sedan,24,17,3105,2000,44.721359549995796,7.601402334583733,0.930039504416137,-0.36745954910083134,True,False,False
21,Audi,100,1992,regular unleaded,172.0,6.0,MANUAL,all wheel drive,4.0,Luxury,Midsize,Sedan,21,16,3105,2000,44.721359549995796,7.601402334583733,0.930039504416137,-0.36745954910083134,True,False,False
